timestamp_sec,joint,angle_diff_deg
5.0,left_elbow,155.19
5.0,right_elbow,112.93
5.0,left_shoulder,-14.66
5.0,right_shoulder,-55.92
5.0,left_knee,-49.02
5.0,right_knee,-48.49
5.133,left_elbow,148.48
5.133,right_elbow,2.92
5.133,left_shoulder,-14.52
5.133,right_shoulder,-6.85
5.133,left_knee,-22.27
5.133,right_knee,-12.65
5.367,left_elbow,2.96
5.367,right_elbow,160.76
5.367,left_shoulder,-51.8
5.367,right_shoulder,-26.0
5.367,left_knee,0.24
5.367,right_knee,-11.31
5.5,left_elbow,124.87
5.5,right_elbow,164.46
5.5,left_shoulder,-26.66
5.5,right_shoulder,-25.02
5.5,left_knee,-24.84
5.5,right_knee,-21.49
5.633,left_elbow,10.01
5.633,right_elbow,164.27
5.633,left_shoulder,-34.87
5.633,right_shoulder,-23.82
5.633,left_knee,-17.57
5.633,right_knee,-10.27
5.867,left_elbow,18.44
5.867,right_elbow,151.33
5.867,left_shoulder,-14.0
5.867,right_shoulder,-12.77
5.867,left_knee,-4.21
5.867,right_knee,83.8
6.0,left_elbow,-45.66
6.0,right_elbow,-47.67
6.0,left_shoulder,14.37
6.0,right_shoulder,4.52
6.0,left_knee,5.34
6.0,right_knee,-56.58
6.133,left_elbow,-122.2
6.133,right_elbow,-125.16
6.133,left_shoulder,-10.91
6.133,right_shoulder,-29.8
6.133,left_knee,-3.08
6.133,right_knee,-4.88
6.367,left_elbow,-49.94
6.367,right_elbow,-93.69
6.367,left_shoulder,-33.19
6.367,right_shoulder,-96.59
6.367,left_knee,-9.99
6.367,right_knee,-31.52
6.5,left_elbow,-48.01
6.5,right_elbow,-161.47
6.5,left_shoulder,78.0
6.5,right_shoulder,-75.5
6.5,left_knee,8.8
6.5,right_knee,-32.5
6.633,left_elbow,-54.05
6.633,right_elbow,-17.04
6.633,left_shoulder,75.79
6.633,right_shoulder,-5.28
6.633,left_knee,10.46
6.633,right_knee,4.57
6.867,left_elbow,-98.24
6.867,right_elbow,-54.84
6.867,left_shoulder,53.85
6.867,right_shoulder,13.76
6.867,left_knee,-6.49
6.867,right_knee,-5.26
7.0,left_elbow,-131.39
7.0,right_elbow,41.54
7.0,left_shoulder,-5.89
7.0,right_shoulder,17.51
7.0,left_knee,-101.68
7.0,right_knee,-20.99
7.067,left_elbow,-72.46
7.067,right_elbow,38.11
7.067,left_shoulder,-10.86
7.067,right_shoulder,14.65
7.067,left_knee,-56.36
7.067,right_knee,-20.65
7.133,left_elbow,25.39
7.133,right_elbow,92.21
7.133,left_shoulder,28.86
7.133,right_shoulder,21.99
7.133,left_knee,-34.55
7.133,right_knee,-1.6
7.167,left_elbow,36.7
7.167,right_elbow,46.33
7.167,left_shoulder,27.27
7.167,right_shoulder,50.81
7.167,left_knee,-22.95
7.167,right_knee,-7.79
7.2,left_elbow,44.31
7.2,right_elbow,56.42
7.2,left_shoulder,22.94
7.2,right_shoulder,69.45
7.2,left_knee,-21.32
7.2,right_knee,-18.96
7.3,left_elbow,41.33
7.3,right_elbow,101.77
7.3,left_shoulder,-1.46
7.3,right_shoulder,72.59
7.3,left_knee,-23.57
7.3,right_knee,-18.27
7.333,left_elbow,27.67
7.333,right_elbow,104.5
7.333,left_shoulder,7.96
7.333,right_shoulder,74.8
7.333,left_knee,-32.58
7.333,right_knee,-9.82
7.367,left_elbow,-0.12
7.367,right_elbow,115.98
7.367,left_shoulder,18.18
7.367,right_shoulder,74.9
7.367,left_knee,-29.97
7.367,right_knee,-13.37
7.433,left_elbow,127.33
7.433,right_elbow,125.54
7.433,left_shoulder,15.56
7.433,right_shoulder,70.31
7.433,left_knee,3.94
7.433,right_knee,-12.3
7.5,left_elbow,137.09
7.5,right_elbow,129.44
7.5,left_shoulder,7.92
7.5,right_shoulder,71.12
7.5,left_knee,6.02
7.5,right_knee,-4.38
7.567,left_elbow,138.06
7.567,right_elbow,122.4
7.567,left_shoulder,-0.58
7.567,right_shoulder,69.88
7.567,left_knee,0.87
7.567,right_knee,-9.38
7.633,left_elbow,136.06
7.633,right_elbow,120.43
7.633,left_shoulder,-10.12
7.633,right_shoulder,66.14
7.633,left_knee,-1.93
7.633,right_knee,-8.02
7.667,left_elbow,135.57
7.667,right_elbow,114.38
7.667,left_shoulder,-9.76
7.667,right_shoulder,58.97
7.667,left_knee,0.71
7.667,right_knee,-8.9
7.7,left_elbow,127.86
7.7,right_elbow,107.86
7.7,left_shoulder,-10.82
7.7,right_shoulder,54.81
7.7,left_knee,-2.06
7.7,right_knee,-31.91
7.8,left_elbow,33.66
7.8,right_elbow,40.11
7.8,left_shoulder,-19.43
7.8,right_shoulder,41.31
7.8,left_knee,-17.08
7.8,right_knee,-16.01
7.833,left_elbow,-12.12
7.833,right_elbow,7.78
7.833,left_shoulder,-7.78
7.833,right_shoulder,30.46
7.833,left_knee,-8.19
7.833,right_knee,-12.34
7.867,left_elbow,-8.12
7.867,right_elbow,-8.07
7.867,left_shoulder,-1.18
7.867,right_shoulder,26.93
7.867,left_knee,-2.66
7.867,right_knee,-9.39
7.933,left_elbow,5.15
7.933,right_elbow,11.37
7.933,left_shoulder,-2.69
7.933,right_shoulder,17.45
7.933,left_knee,-6.76
7.933,right_knee,-26.04
8.0,left_elbow,10.69
8.0,right_elbow,6.54
8.0,left_shoulder,-15.04
8.0,right_shoulder,23.39
8.0,left_knee,-11.01
8.0,right_knee,-37.18
8.067,left_elbow,24.77
8.067,right_elbow,69.36
8.067,left_shoulder,-26.36
8.067,right_shoulder,-71.3
8.067,left_knee,-13.21
8.067,right_knee,-46.6
8.167,left_elbow,144.92
8.167,right_elbow,140.36
8.167,left_shoulder,-35.6
8.167,right_shoulder,10.71
8.167,left_knee,-8.42
8.167,right_knee,-22.77
8.333,left_elbow,154.79
8.333,right_elbow,142.98
8.333,left_shoulder,-32.89
8.333,right_shoulder,28.34
8.333,left_knee,-9.08
8.333,right_knee,-31.5
8.433,left_elbow,156.71
